profession,social_media_sleep,mood_disorder,content_type_social_media,think_time_instagram,think_time_whatsapp,think_time_twitter,think_time_facebook,think_time_youtube,think_time_linkedin,actual_time_instagram,actual_time_whatsapp,actual_time_twitter,actual_time_facebook,actual_time_youtube,actual_time_linkedin,focus_quality,binge_watch_reels,sad_content_feed,social_media_purpose,social_relationship_impact,time_loss_social_media,sleep_quality_general,refreshed_after_social_media,anxious_stressed,compare_with_others,headaches_eyestrain,trouble_sleeping_month,sleep_quality_month,social_media_before_bed,nervous_anxious,smartphone_discomfort
0,3,4,16,2,4,4,4,1,2,2,3,4,4,1,1,5,2,3,67,2,4,4,1,1,4,1,2,3,1,1,4
1,3,5,12,2,2,1,4,0,1,2,2,2,4,0,2,5,2,2,35,3,4,3,0,1,1,1,3,4,1,1,3
0,5,5,22,0,0,4,4,1,2,0,0,4,4,1,2,5,5,5,49,1,4,2,0,1,5,1,3,3,1,5,5
0,4,2,16,2,1,4,4,3,4,1,1,4,4,2,4,4,4,5,70,4,4,3,0,0,4,1,3,3,1,3,5
0,4,5,44,4,2,4,4,1,4,4,2,4,4,1,4,1,3,2,28,3,4,4,0,0,4,1,3,2,0,3,2
0,2,2,12,2,2,4,4,2,4,2,2,4,4,2,4,3,2,1,83,1,4,4,1,0,3,0,2,5,0,1,1
0,3,2,12,4,2,4,2,2,4,3,2,3,2,2,3,2,2,3,3,2,3,4,1,0,3,1,2,2,1,3,4
0,1,1,27,4,1,4,4,1,4,4,2,4,4,1,4,5,4,2,46,2,4,4,0,0,1,1,1,5,0,1,2
7,3,3,4,2,2,4,4,3,3,2,2,4,4,3,3,3,3,3,43,4,3,3,0,0,1,0,5,3,1,3,3
0,3,2,10,2,3,4,4,1,4,2,3,4,4,1,4,3,2,5,46,5,4,5,1,0,3,0,1,5,0,5,5
0,4,3,27,4,4,4,4,2,4,4,3,4,4,2,4,2,1,4,59,1,4,5,0,1,1,0,4,4,0,1,1
0,5,3,4,4,1,4,4,1,4,4,1,4,4,1,4,2,1,4,22,2,4,4,0,0,3,1,2,4,0,2,1
0,4,2,16,4,3,4,4,2,4,4,2,4,4,2,4,2,1,5,46,3,4,4,0,1,1,0,2,4,0,4,1
0,1,2,12,4,4,4,4,3,4,4,4,4,4,4,4,1,1,2,22,2,4,4,1,1,2,1,1,1,0,1,1
0,5,3,47,4,1,4,4,2,4,4,2,4,4,1,4,5,3,4,22,4,4,5,0,1,3,1,4,4,0,3,1
0,3,2,22,2,2,4,4,2,4,2,2,4,4,2,4,2,3,5,60,3,4,5,1,0,1,1,1,3,1,2,3
0,3,2,10,4,4,4,4,2,4,4,4,4,4,2,4,1,3,4,35,3,4,5,1,0,1,0,1,4,1,1,4
0,1,1,22,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,83,3,4,5,0,1,3,1,2,1,1,5,5
0,5,4,10,4,3,4,4,1,4,4,2,4,4,1,4,3,3,4,84,2,4,3,0,1,2,1,1,2,0,1,2
0,4,5,10,4,3,4,4,0,4,4,3,4,4,0,4,5,4,4,61,1,4,3,0,0,4,1,1,3,1,4,5
0,5,3,10,4,4,4,4,3,4,4,3,4,4,0,4,5,3,3,49,3,4,3,0,1,3,1,3,3,1,3,3
0,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,1,2,3,22,1,4,4,0,1,1,1,2,2,1,2,1
0,3,4,22,4,4,4,4,4,2,4,3,4,4,4,3,4,3,2,70,3,4,4,0,0,1,1,3,4,1,2,2
0,1,1,10,2,2,4,4,1,1,3,3,4,4,3,3,1,1,2,46,1,4,1,1,0,1,0,1,1,1,1,1
0,1,4,10,3,3,4,4,1,4,4,3,4,4,1,4,2,1,5,22,3,4,4,0,0,3,0,2,4,0,2,3
0,4,2,4,2,2,4,4,4,4,2,2,4,4,4,4,2,2,3,22,3,4,3,0,0,3,1,3,4,1,1,2
0,3,2,12,4,2,4,4,1,3,4,2,4,4,1,3,4,3,4,22,3,4,4,1,1,2,1,3,4,1,4,3
0,2,1,44,4,2,4,4,2,3,4,2,4,4,1,2,2,1,5,46,1,4,4,0,0,3,1,2,3,0,2,1
0,3,1,12,3,3,4,4,4,4,0,0,4,4,2,4,4,3,2,52,1,4,4,1,1,1,1,3,3,0,2,5
0,1,1,30,2,3,3,2,2,4,2,3,4,2,3,4,1,1,3,79,1,3,5,1,0,1,0,1,5,1,1,1
7,4,3,4,4,2,4,2,3,4,4,2,4,2,3,4,3,3,3,22,3,4,3,1,0,3,0,3,3,1,3,3
0,1,1,4,2,2,4,4,2,4,2,2,4,4,2,2,1,5,1,46,5,3,5,0,1,5,1,1,1,0,5,1
0,1,5,3,4,4,4,4,4,3,3,3,3,3,3,3,1,3,3,2,1,3,5,1,1,1,1,3,5,1,3,3
0,1,3,4,4,2,4,4,0,4,4,2,4,4,0,4,1,1,1,25,3,4,5,1,0,1,1,5,3,1,3,1
0,1,2,12,1,3,4,4,1,4,1,3,4,4,1,4,1,3,5,49,4,4,5,1,0,4,1,4,5,1,2,5
0,4,2,49,4,3,4,4,2,4,4,3,4,4,2,4,2,3,1,85,4,4,5,1,0,1,0,2,4,0,1,1
0,2,2,44,1,3,4,4,2,4,1,3,4,4,2,4,2,3,4,46,3,4,3,0,0,1,0,1,3,0,1,3
0,1,1,10,4,4,4,4,4,4,4,4,4,4,4,4,1,5,5,46,4,4,3,1,1,5,1,3,3,1,2,2
0,2,1,30,1,2,4,4,0,4,1,2,4,4,0,4,1,2,3,56,3,4,3,1,0,1,1,2,3,1,2,2
0,1,2,30,4,3,2,3,4,2,4,3,3,3,4,2,2,2,3,84,1,3,2,1,0,1,1,1,2,0,1,3
0,5,1,4,3,4,2,3,4,2,2,4,2,2,4,2,1,1,1,43,1,3,5,0,0,1,0,1,2,1,1,1
0,1,2,4,4,3,4,4,3,4,4,3,4,4,3,4,1,1,1,84,1,3,1,0,0,1,1,1,1,1,1,1
12,5,5,49,3,1,1,4,1,4,3,1,2,2,0,4,4,2,4,45,2,4,3,0,0,3,1,4,3,1,4,3
0,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,46,3,4,3,1,0,2,1,2,2,1,2,3
8,2,3,10,4,4,4,4,4,4,3,3,3,3,3,3,3,4,5,84,3,4,4,1,1,4,1,3,3,1,3,3
0,3,1,4,4,3,4,4,4,4,4,3,4,4,2,4,2,2,4,43,3,4,4,0,0,2,0,2,4,0,2,2
0,1,5,47,4,1,0,0,0,4,0,0,0,0,0,0,3,5,5,84,3,4,3,0,1,5,0,3,4,0,4,1
0,2,2,44,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,27,1,4,1,1,1,1,0,1,1,0,1,1
0,3,1,22,2,2,4,4,2,4,2,2,4,4,2,4,3,1,2,84,1,3,3,0,1,1,0,2,5,0,1,2
0,1,3,44,2,3,2,2,3,2,3,4,2,2,3,2,1,2,3,35,3,4,2,1,1,2,1,2,4,0,2,1
0,4,4,30,4,1,4,4,0,4,4,1,4,4,0,4,3,2,5,60,3,4,3,0,1,4,1,3,3,1,3,5
0,2,3,12,2,3,4,4,3,4,2,3,4,4,3,4,2,3,2,83,2,4,4,1,0,2,0,1,4,1,1,1
7,4,1,47,4,1,4,3,4,4,4,1,4,3,4,4,1,1,1,22,3,3,4,1,0,1,0,1,3,1,1,2
0,3,1,4,4,2,4,4,1,4,4,2,4,4,1,4,2,3,1,86,1,3,3,1,0,2,1,4,3,0,1,1
7,3,3,46,4,2,4,3,2,4,4,2,4,3,2,4,3,1,2,12,3,4,3,0,1,2,1,3,3,1,3,2
0,2,1,12,4,4,4,4,4,3,4,4,4,4,3,4,2,2,1,49,1,4,4,0,0,1,0,3,5,1,1,1
0,1,1,47,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,46,1,3,1,1,1,1,1,1,1,1,1,1
0,5,1,4,4,3,4,4,2,4,4,3,4,4,2,4,4,1,5,84,4,4,5,0,0,1,0,2,4,0,1,1
0,5,5,4,4,3,4,4,1,4,4,2,4,4,1,4,5,3,3,84,3,4,3,0,1,3,1,3,3,0,4,1
